year,name,num
1992,Aaliyah,1
2012,Aaliyah,1
2014,Aaliyah,2
2017,Aaliyah,1
2000,Aaron,1
2001,Aaron,5
2013,Aaron,1
1999,Abby,1
2013,Abby,1
1959,Abe,1
2019,Abel,2
1968,Abraham,1
2014,Abraham,1
1981,Ace,1
2000,Ace,1
2011,Ace,2
2013,Ace,2
2015,Ace,2
2018,Ace,7
1980,Adam,1
1982,Adam,1
1988,Adam,1
1997,Adam,1
2007,Adam,1
2017,Adam,1
2013,Addison,2
1995,Adina,1
1979,Adonis,1
1987,Adonis,1
2019,Adrien,1
2001,Aisha,1
1986,Al,5
1988,Al,1
1992,Al,1
1994,Al,1
1995,Al,1
2009,Al,1
2012,Al,2
2013,Al,1
2018,Al,6
1974,Albert,1
1980,Albert,1
1979,Alberta,1
1983,Aldo,2
1987,Alex,1
1989,Alex,1
2019,Alexa,1
2003,Alexander,1
2013,Alexander,3
2009,Alfred,1
2015,Alfredo,1
2002,Ali,1
2016,Ali,2
2018,Ali,5
1967,Alice,3
1976,Alice,13
1979,Alice,1
2002,Alice,1
1978,Alicia,1
2009,Alicia,1
2011,Alicia,1
1978,Alison,1
2017,Alissa,2
2003,Allen,1
2011,Allie,1
2011,Alonzo,1
1986,Amanda,6
2016,Amber Rose,1
1960,America,1
1969,America,11
1975,America,4
1976,America,1
1978,America,3
1981,America,10
1983,America,28
1986,America,27
1988,America,15
1989,America,1
1994,America,2
1995,America,1
1997,America,8
2000,America,2
2008,America,8
2009,America,15
2011,America,9
2012,America,2
2013,America,3
2018,America,17
2019,America,2
1975,Amie,5
1973,Amos,1
2003,Amy,1
2008,Amy,11
2009,Amy,1
2010,Amy,1
1990,Ana,1
2003,Anastasia,1
1980,Andre,1
1998,Andre,1
2017,Andre,1
2001,Andrew,3
2018,Andrew,1
1973,Andy,8
1993,Andy,8
2018,Andy,1
1998,Angel,1
2008,Angela,1
2015,Angela,2
2016,Angela,2
1989,Angelia,8
2000,Angelina,1
2009,Angelina,1
2012,Angelina,1
1973,Angie,18
1995,Angie,2
2003,Anita,3
2018,Anita,2
1996,Ann,1
2012,Ann,1
2017,Ann,1
1960,Anna,1
2012,Anna,1
1969,Anna Lee,2
2006,Anna Molly,15
2010,Anna Nicki,1
2010,Anna Nicole,1
2017,Anna Nicole,2
2003,Annabella,2
1995,Anne,1
2001,Anne,1
1977,Annette,1
1960,Annie,3
1980,Annie,1
1988,Annie,33
1991,Annie,6
2001,Annie,24
2013,Annie,7
2015,Annie,2
2018,Annie,1
2003,Annie Mae,1
1978,Anthony,1
1975,Anton,1
1960,Antone,2
1973,Antone,1
1976,Antone,1
2000,Antone,1
1972,April,7
1974,April,2
1984,April,2
2017,April,1
2005,Archie,1
2010,Archie,1
1975,Aretha,1
2009,Aretha,1
2014,Aretha,1
2017,Aretha,1
2018,Ari,1
2016,Ariana,2
2014,Armando,1
1996,Armani,2
2013,Armani,1
1994,Arnold,1
2018,Arnold,1
1975,Arthur,3
2002,Ashanti,1
2005,Ashley,1
2007,Ashley,1
2019,Ashley,1
2011,Ashton,1
1993,Asia,1
1973,Aubrey,1
1966,August,2
1984,August,1
2002,August,1
2005,August,1
2014,August,2
1985,Austin,1
2001,Austin,4
2009,Austin,1
2014,Austin,2
2015,Austin,1
1997,Autumn,1
1959,Baby,10
1961,Baby,17
1962,Baby,15
1967,Baby,52
1968,Baby,38
1969,Baby,71
1970,Baby,18
1972,Baby,55
1977,Baby,53
1978,Baby,40
1979,Baby,72
1981,Baby,29
1984,Baby,56
1986,Baby,48
1989,Baby,69
1990,Baby,52
1991,Baby,122
1993,Baby,67
1996,Baby,89
1998,Baby,67
1999,Baby,93
2000,Baby,115
2002,Baby,86
2003,Baby,64
2005,Baby,101
2008,Baby,124
2010,Baby,240
2011,Baby,95
2013,Baby,152
2018,Baby,128
2019,Baby,30
2007,Bailey,1
2008,Bambi,1
1959,Barbara,1
1962,Barbara,4
1974,Barbara,3
2014,Barbara,1
1966,Barbara Ann,35
2010,Barbra,1
2011,Barbra,6
1972,Barney,1
2004,Barney,3
2014,Barney,2
2017,Barney,1
2011,Barry,1
2016,Barry,1
2017,Barry,1
2019,Barry,1
2003,Bart,1
2018,Bart,1
1980,Beau,1
1992,Becky,1
2003,Becky,1
2010,Becky,1
2011,Becky,1
2016,Becky,4
2017,Becky,3
2019,Becky,1
2018,Bella,1
1968,Bella Linda,13
1978,Belle,7
1997,Belle,1
2003,Belle,1
2015,Belle,1
1972,Ben,6
1998,Ben,1
1999,Ben,1
2006,Ben,1
2009,Ben,3
2012,Ben,1
2014,Ben,1
2015,Ben,2
2017,Ben,8
1997,Benjamin,1
2000,Benjamin,1
2009,Benjamin,1
2012,Benjamin,1
2013,Benjamin,1
2015,Benjamin,2
2018,Benjamin,1
1974,Bennie,43
1978,Benny,1
1996,Benny,1
2011,Benny,1
1985,Bentley,1
1998,Bentley,2
2000,Bentley,3
2001,Bentley,16
2003,Bentley,3
2008,Bentley,3
2009,Bentley,1
2010,Bentley,31
2013,Bentley,3
2015,Bentley,7
2018,Bentley,56
1959,Bernadette,2
1967,Bernadette,9
2009,Bernice,1
2014,Bernice,1
2009,Bernie,1
2013,Berry,1
1998,Bert,1
2010,Beth,5
1993,Betsy,1
1964,Betty,1
1966,Betty,1
1986,Betty,6
1999,Betty,2
2005,Betty,1
1966,Betty Lou,1
2005,Betty Lou,1
1996,Beverly,1
2007,Beverly,1
2014,Beverly,1
2017,Beverly,2
1958,Bill,1
1963,Bill,2
1966,Bill,19
1994,Bill,1
1995,Bill,1
1997,Bill,3
2002,Bill,1
2005,Bill,2
2008,Bill,2
2010,Bill,4
2013,Bill,1
2018,Bill,2
2002,Billie,1
2005,Billie Jean,1
2011,Billie Jean,2
2014,Billie Jean,1
2017,Billie Jean,2
2019,Billie Jean,2
1967,Billy,6
1968,Billy,2
1971,Billy,1
1972,Billy,1
1974,Billy,17
1980,Billy,1
1985,Billy,18
1994,Billy,3
1995,Billy,1
2009,Billy,1
2014,Billy,2
2017,Billy,1
2018,Billy Jean,6
2009,Blake,1
1970,Bo,1
1991,Bo,1
2001,Bo,1
2004,Bo,1
2006,Bo,5
2017,Bo,1
1973,Bob,2
1991,Bob,5
2005,Bob,1
2008,Bob,1
2010,Bob,2
2011,Bob,2
2013,Bob,1
2018,Bob,1
1994,Bobbie Joe,1
1959,Bobby,1
1966,Bobby,1
1967,Bobby,1
1968,Bobby,1
1971,Bobby,31
1972,Bobby,2
1974,Bobby,2
1979,Bobby,1
1981,Bobby,1
1983,Bobby,1
1985,Bobby,1
1988,Bobby,2
1997,Bobby,4
2004,Bobby,1
2005,Bobby,3
2007,Bobby,3
2013,Bobby,1
2015,Bobby,1
2010,Bobby Ray,2
1969,Bonnie,2
2000,Bonnie,1
2017,Bonnie,1
2018,Bonnie,1
1961,Boston,4
1970,Boston,1
1975,Boston,1
1980,Boston,1
2000,Boston,1
2006,Boston,5
2014,Boston,9
1999,Brad,1
2006,Brad,1
2016,Brad,1
2018,Braden,1
1997,Bradley,4
1991,Brady,1
2018,Brady,1
1978,Brandy,10
1997,Brandy,1
2010,Brandy,1
2019,Brandy,1
2001,Branson,1
2010,Braxton,1
2001,Brenda,1
1989,Brenda Lee,2
1989,Bret,1
2013,Bria,1
1971,Brian,1
2006,Bridgette,1
2004,Britney,1
2007,Britney,2
2009,Britney,5
2010,Britney,1
2018,Britney,1
2015,Brittany,1
2017,Brittany,1
2016,Brittney,1
2011,Brodie,1
1998,Brook,1
1968,Brooklyn,3
1987,Brooklyn,3
1989,Brooklyn,2
1993,Brooklyn,2
1994,Brooklyn,2
1999,Brooklyn,1
2004,Brooklyn,3
2005,Brooklyn,6
2010,Brooklyn,2
2014,Brooklyn,2
2017,Brooklyn,1
2019,Brooklyn,1
2003,Bruce,3
2010,Bruce,7
2011,Bruce,2
2018,Bruce,1
2018,Bryan,2
1983,Bryant,1
1993,Buck,1
2004,Buck,3
2006,Buck,1
2007,Buck,1
2017,Buck,1
1962,Bud,1
